Internal ID,Name,Merchandise Hierarchy
136763,DE-2648-118-H,Home Line Production : Decoration : Objects
137270,DE-2648-118-H : DE-2648-118-H-BROWN-O,Home Line Production : Decoration : Objects
150370,DE-2739-118-H,Home Line Production : Decoration : Objects
150470,DE-2739-118-H : DE-2739-118-H-BROWN-O,Home Line Production : Decoration : Objects
144966,DE-GT-001,
145067,DE-GT-001 : DE-GT-001-DK.GRAY-S,
144965,DE-GT-002,
145068,DE-GT-002 : DE-GT-002-LT.GRAY-S,
144964,DE-GT-004,
145064,DE-GT-004 : DE-GT-004-DK.GRAY-L,
144967,DE-GT-006,
145066,DE-GT-006 : DE-GT-006-DK.GRAY-L,
144968,DE-GT-007,
145065,DE-GT-007 : DE-GT-007-BOWL-L,
144970,DE-GT-008,
145071,DE-GT-008 : DE-GT-008-TRAY-O,
144969,DE-GT-009,
145072,DE-GT-009 : DE-GT-009-BOWL-O,
144971,DE-OR-002,
145069,DE-OR-002 : DE-OR-002-MARBLE-O,
144972,DE-OR-003,
145070,DE-OR-003 : DE-OR-003-MARBLE-O,
144973,DE-OR-004,
145073,DE-OR-004 : DE-OR-004-MARBLE-O,
144974,DE-ZA-001,
145074,DE-ZA-001 : DE-ZA-001-WOOD-O,
116794,DESIGN FABRIC,
57156,DR-1001-117-W,OF China Women : Top : Dress
62188,DR-1001-117-W : DR-1001-117-W-BEIGE-L,OF China Women : Top : Dress
62189,DR-1001-117-W : DR-1001-117-W-BEIGE-M,OF China Women : Top : Dress
62191,DR-1001-117-W : DR-1001-117-W-BEIGE-S,OF China Women : Top : Dress
62190,DR-1001-117-W : DR-1001-117-W-BEIGE-XS,OF China Women : Top : Dress
62192,DR-1001-117-W : DR-1001-117-W-BLACK-L,OF China Women : Top : Dress
62193,DR-1001-117-W : DR-1001-117-W-BLACK-M,OF China Women : Top : Dress
62194,DR-1001-117-W : DR-1001-117-W-BLACK-S,OF China Women : Top : Dress
62195,DR-1001-117-W : DR-1001-117-W-BLACK-XS,OF China Women : Top : Dress
57153,DR-1002-117-W,OF China Women : Top : Dress
62196,DR-1002-117-W : DR-1002-117-W-BLACK-L,OF China Women : Top : Dress
62197,DR-1002-117-W : DR-1002-117-W-BLACK-M,OF China Women : Top : Dress
62198,DR-1002-117-W : DR-1002-117-W-BLACK-S,OF China Women : Top : Dress
62199,DR-1002-117-W : DR-1002-117-W-BLACK-XS,OF China Women : Top : Dress
62200,DR-1002-117-W : DR-1002-117-W-DK.GRAY-M,OF China Women : Top : Dress
62201,DR-1002-117-W : DR-1002-117-W-DK.GRAY-S,OF China Women : Top : Dress
62202,DR-1002-117-W : DR-1002-117-W-GRAY MIX-L,OF China Women : Top : Dress
62203,DR-1002-117-W : DR-1002-117-W-GRAY MIX-M,OF China Women : Top : Dress
62204,DR-1002-117-W : DR-1002-117-W-GRAY MIX-S,OF China Women : Top : Dress
62205,DR-1002-117-W : DR-1002-117-W-GRAY MIX-XS,OF China Women : Top : Dress
62207,DR-1002-117-W : DR-1002-117-W-LT.GRAY-L,OF China Women : Top : Dress
62206,DR-1002-117-W : DR-1002-117-W-LT.GRAY-M,OF China Women : Top : Dress
62208,DR-1002-117-W : DR-1002-117-W-LT.GRAY-S,OF China Women : Top : Dress
62209,DR-1002-117-W : DR-1002-117-W-LT.GRAY-XS,OF China Women : Top : Dress
62211,DR-1002-117-W : DR-1002-117-W-OFF WHITE-M,OF China Women : Top : Dress
62210,DR-1002-117-W : DR-1002-117-W-OFF WHITE-S,OF China Women : Top : Dress
62213,DR-1002-117-W : DR-1002-117-W-OFF WHITE-XS,OF China Women : Top : Dress
57154,DR-1044-117-W,OF China Women : Top : Dress
62212,DR-1044-117-W : DR-1044-117-W-BLACK-L,OF China Women : Top : Dress
62214,DR-1044-117-W : DR-1044-117-W-BLACK-M,OF China Women : Top : Dress
62215,DR-1044-117-W : DR-1044-117-W-BLACK-S,OF China Women : Top : Dress
62217,DR-1044-117-W : DR-1044-117-W-BLACK-XS,OF China Women : Top : Dress
62216,DR-1044-117-W : DR-1044-117-W-LT.GRAY-M,OF China Women : Top : Dress
62218,DR-1044-117-W : DR-1044-117-W-LT.GRAY-S,OF China Women : Top : Dress
62219,DR-1044-117-W : DR-1044-117-W-OFF WHITE-M,OF China Women : Top : Dress
62221,DR-1044-117-W : DR-1044-117-W-OFF WHITE-S,OF China Women : Top : Dress
57152,DR-1077-117-W,OF China Women : Top : Dress
62220,DR-1077-117-W : DR-1077-117-W-BLACK-L,OF China Women : Top : Dress
62222,DR-1077-117-W : DR-1077-117-W-BLACK-M,OF China Women : Top : Dress
62223,DR-1077-117-W : DR-1077-117-W-BLACK-S,OF China Women : Top : Dress
62224,DR-1077-117-W : DR-1077-117-W-BLACK-XS,OF China Women : Top : Dress
62225,DR-1077-117-W : DR-1077-117-W-GRAY MIX- L,OF China Women : Top : Dress
62226,DR-1077-117-W : DR-1077-117-W-GRAY MIX- M,OF China Women : Top : Dress
62227,DR-1077-117-W : DR-1077-117-W-GRAY MIX- S,OF China Women : Top : Dress
62228,DR-1077-117-W : DR-1077-117-W-GRAY MIX-XS,OF China Women : Top : Dress
57151,DR-1078-117-W,OF China Women : Top : Dress
62229,DR-1078-117-W : DR-1078-117-W-NAVY-L,OF China Women : Top : Dress
62230,DR-1078-117-W : DR-1078-117-W-NAVY-M,OF China Women : Top : Dress
62231,DR-1078-117-W : DR-1078-117-W-NAVY-S,OF China Women : Top : Dress
62232,DR-1078-117-W : DR-1078-117-W-NAVY-XS,OF China Women : Top : Dress
62233,DR-1078-117-W : DR-1078-117-W-WHITE-L,OF China Women : Top : Dress
62234,DR-1078-117-W : DR-1078-117-W-WHITE-M,OF China Women : Top : Dress
62235,DR-1078-117-W : DR-1078-117-W-WHITE-S,OF China Women : Top : Dress
62237,DR-1078-117-W : DR-1078-117-W-WHITE-XS,OF China Women : Top : Dress
57150,DR-1079-117-W,OF China Women : Top : Dress
62236,DR-1079-117-W : DR-1079-117-W-BLACK-L,OF China Women : Top : Dress
62238,DR-1079-117-W : DR-1079-117-W-BLACK-M,OF China Women : Top : Dress
62239,DR-1079-117-W : DR-1079-117-W-BLACK-S,OF China Women : Top : Dress
62241,DR-1079-117-W : DR-1079-117-W-BLACK-XS,OF China Women : Top : Dress
62240,DR-1079-117-W : DR-1079-117-W-WHITE MIX-L,OF China Women : Top : Dress
62242,DR-1079-117-W : DR-1079-117-W-WHITE MIX-M,OF China Women : Top : Dress
62243,DR-1079-117-W : DR-1079-117-W-WHITE MIX-S,OF China Women : Top : Dress
62244,DR-1079-117-W : DR-1079-117-W-WHITE MIX-XS,OF China Women : Top : Dress
62245,DR-1079-117-W : DR-1079-117-W-WHITE-L,OF China Women : Top : Dress
62246,DR-1079-117-W : DR-1079-117-W-WHITE-M,OF China Women : Top : Dress
62247,DR-1079-117-W : DR-1079-117-W-WHITE-S,OF China Women : Top : Dress
62248,DR-1079-117-W : DR-1079-117-W-WHITE-XS,OF China Women : Top : Dress
57149,DR-1080-117-W,OF China Women : Top : Dress
62249,DR-1080-117-W : DR-1080-117-W-BEIGE-L,OF China Women : Top : Dress
62251,DR-1080-117-W : DR-1080-117-W-BEIGE-M,OF China Women : Top : Dress
62250,DR-1080-117-W : DR-1080-117-W-BEIGE-S,OF China Women : Top : Dress
62252,DR-1080-117-W : DR-1080-117-W-BEIGE-XS,OF China Women : Top : Dress
62253,DR-1080-117-W : DR-1080-117-W-BLACK-L,OF China Women : Top : Dress
62254,DR-1080-117-W : DR-1080-117-W-BLACK-M,OF China Women : Top : Dress
62255,DR-1080-117-W : DR-1080-117-W-BLACK-S,OF China Women : Top : Dress
62256,DR-1080-117-W : DR-1080-117-W-BLACK-XS,OF China Women : Top : Dress
62258,DR-1080-117-W : DR-1080-117-W-LT.GRAY-L,OF China Women : Top : Dress
62257,DR-1080-117-W : DR-1080-117-W-LT.GRAY-M,OF China Women : Top : Dress
62259,DR-1080-117-W : DR-1080-117-W-LT.GRAY-S,OF China Women : Top : Dress
62260,DR-1080-117-W : DR-1080-117-W-LT.GRAY-XS,OF China Women : Top : Dress
97714,DR-1081-11,OF China Women : Top : Dress
98410,DR-1081-11 : _INACTIVE1 : _INACTIVE1-38,OF China Women : Top : Dress
98411,DR-1081-11 : _INACTIVE1 : _INACTIVE1-39,OF China Women : Top : Dress
98412,DR-1081-11 : _INACTIVE1 : _INACTIVE1-40,OF China Women : Top : Dress
57148,DR-1081-117-W,OF China Women : Top : Dress
62261,DR-1081-117-W : DR-1081-117-W-BLACK-L,OF China Women : Top : Dress
62262,DR-1081-117-W : DR-1081-117-W-BLACK-M,OF China Women : Top : Dress
62263,DR-1081-117-W : DR-1081-117-W-BLACK-S,OF China Women : Top : Dress
62264,DR-1081-117-W : DR-1081-117-W-BLACK-XS,OF China Women : Top : Dress
62265,DR-1081-117-W : DR-1081-117-W-OFF WHITE - L,OF China Women : Top : Dress
62266,DR-1081-117-W : DR-1081-117-W-OFF WHITE - M,OF China Women : Top : Dress
62267,DR-1081-117-W : DR-1081-117-W-OFF WHITE - S,OF China Women : Top : Dress
62268,DR-1081-117-W : DR-1081-117-W-OFF WHITE - XS,OF China Women : Top : Dress
62269,DR-1081-117-W : DR-1081-117-W-RED-L,OF China Women : Top : Dress
62371,DR-1081-117-W : DR-1081-117-W-RED-M,OF China Women : Top : Dress
62270,DR-1081-117-W : DR-1081-117-W-RED-S,OF China Women : Top : Dress
62372,DR-1081-117-W : DR-1081-117-W-RED-XS,OF China Women : Top : Dress
57147,DR-1082-117-W,OF China Women : Top : Dress
62373,DR-1082-117-W : DR-1082-117-W-DK.GRAY-L,OF China Women : Top : Dress
62374,DR-1082-117-W : DR-1082-117-W-DK.GRAY-M,OF China Women : Top : Dress
62375,DR-1082-117-W : DR-1082-117-W-DK.GRAY-S,OF China Women : Top : Dress
62376,DR-1082-117-W : DR-1082-117-W-DK.GRAY-XS,OF China Women : Top : Dress
62377,DR-1082-117-W : DR-1082-117-W-LT.GRAY-L,OF China Women : Top : Dress
62378,DR-1082-117-W : DR-1082-117-W-LT.GRAY-M,OF China Women : Top : Dress
62379,DR-1082-117-W : DR-1082-117-W-LT.GRAY-S,OF China Women : Top : Dress
62380,DR-1082-117-W : DR-1082-117-W-LT.GRAY-XS,OF China Women : Top : Dress
106021,DR-1083-117-W,OF China Women : Top : Dress
107322,DR-1083-117-W : DR-1083-117-W-BLACK-L,OF China Women : Top : Dress
107320,DR-1083-117-W : DR-1083-117-W-BLACK-M,OF China Women : Top : Dress
107319,DR-1083-117-W : DR-1083-117-W-BLACK-S,OF China Women : Top : Dress
107318,DR-1083-117-W : DR-1083-117-W-BLACK-XS,OF China Women : Top : Dress
107321,DR-1083-117-W : DR-1083-117-W-LT.BLUE-L,OF China Women : Top : Dress
107323,DR-1083-117-W : DR-1083-117-W-LT.BLUE-M,OF China Women : Top : Dress
107324,DR-1083-117-W : DR-1083-117-W-LT.BLUE-S,OF China Women : Top : Dress
107325,DR-1083-117-W : DR-1083-117-W-LT.BLUE-XS,OF China Women : Top : Dress
107326,DR-1083-117-W : DR-1083-117-W-PRINT-WHITE MIX-L,OF China Women : Top : Dress
107327,DR-1083-117-W : DR-1083-117-W-PRINT-WHITE MIX-M,OF China Women : Top : Dress
107330,DR-1083-117-W : DR-1083-117-W-PRINT-WHITE MIX-S,OF China Women : Top : Dress
107328,DR-1083-117-W : DR-1083-117-W-PRINT-WHITE MIX-XS,OF China Women : Top : Dress
107329,DR-1083-117-W : DR-1083-117-W-WHITE-L,OF China Women : Top : Dress
107331,DR-1083-117-W : DR-1083-117-W-WHITE-M,OF China Women : Top : Dress
107332,DR-1083-117-W : DR-1083-117-W-WHITE-S,OF China Women : Top : Dress
107333,DR-1083-117-W : DR-1083-117-W-WHITE-XS,OF China Women : Top : Dress
57145,DR-1084-117-W,OF China Women : Top : Dress
62381,DR-1084-117-W : DR-1084-117-W-BLACK-L,OF China Women : Top : Dress
62383,DR-1084-117-W : DR-1084-117-W-BLACK-M,OF China Women : Top : Dress
62382,DR-1084-117-W : DR-1084-117-W-BLACK-S,OF China Women : Top : Dress
62386,DR-1084-117-W : DR-1084-117-W-BLACK-XS,OF China Women : Top : Dress
62384,DR-1084-117-W : DR-1084-117-W-WHITE MIX-L,OF China Women : Top : Dress
62385,DR-1084-117-W : DR-1084-117-W-WHITE MIX-M,OF China Women : Top : Dress
62388,DR-1084-117-W : DR-1084-117-W-WHITE MIX-S,OF China Women : Top : Dress
62387,DR-1084-117-W : DR-1084-117-W-WHITE MIX-XS,OF China Women : Top : Dress
94804,DR-1163-117-W,OF China Women : Top : Dress
95508,DR-1163-117-W : DR-1163-117-W-BLACK-L,OF China Women : Top : Dress
95510,DR-1163-117-W : DR-1163-117-W-BLACK-M,OF China Women : Top : Dress
95511,DR-1163-117-W : DR-1163-117-W-BLACK-S,OF China Women : Top : Dress
95512,DR-1163-117-W : DR-1163-117-W-BLACK-XS,OF China Women : Top : Dress
95513,DR-1163-117-W : DR-1163-117-W-WHITE MIX-L,OF China Women : Top : Dress
95514,DR-1163-117-W : DR-1163-117-W-WHITE MIX-M,OF China Women : Top : Dress
95515,DR-1163-117-W : DR-1163-117-W-WHITE MIX-S,OF China Women : Top : Dress
95516,DR-1163-117-W : DR-1163-117-W-WHITE MIX-XS,OF China Women : Top : Dress
95517,DR-1163-117-W : DR-1163-117-W-WHITE-L,OF China Women : Top : Dress
95518,DR-1163-117-W : DR-1163-117-W-WHITE-M,OF China Women : Top : Dress
95519,DR-1163-117-W : DR-1163-117-W-WHITE-S,OF China Women : Top : Dress
95520,DR-1163-117-W : DR-1163-117-W-WHITE-XS,OF China Women : Top : Dress
94805,DR-1164-117-W,OF China Women : Top : Dress
95521,DR-1164-117-W : DR-1164-117-W-BLACK-L,OF China Women : Top : Dress
95522,DR-1164-117-W : DR-1164-117-W-BLACK-M,OF China Women : Top : Dress
95523,DR-1164-117-W : DR-1164-117-W-BLACK-S,OF China Women : Top : Dress
95524,DR-1164-117-W : DR-1164-117-W-BLACK-XS,OF China Women : Top : Dress
95526,DR-1164-117-W : DR-1164-117-W-DK.GRAY-L,OF China Women : Top : Dress
95525,DR-1164-117-W : DR-1164-117-W-DK.GRAY-M,OF China Women : Top : Dress
